07	01	23	9E	00	18	AE	18	AE	97	97	9B	44	84	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
08	02	24	9E	00	18	AF	18	AF	12	12	9B	44	C8	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
09	02	25	9E	00	18	AF	18	AF	8E	8E	9B	44	40	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0A	02	26	9E	00	18	B0	18	B0	E	0E	9B	43	FB	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0B	03	27	9E	00	18	B0	18	B0	89	89	9B	43	B7	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0C	03	28	9E	00	18	B1	18	B1	05	05	9B	43	2F	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0D	03	29	9E	00	18	B1	18	B1	80	80	9B	43	73	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0E	03	31	9E	00	18	B1	18	B1	FC	FC	9B	42	EA	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
0F	04	32	9D	00	18	B2	18	B2	77	77	9B	43	73	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
10	05	33	9D	00	18	B2	18	B2	F7	F7	9B	43	2F	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
11	01	34	9D	00	18	B3	18	B3	73	73	9B	42	EA	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
12	01	35	9D	00	18	B3	18	B3	EE	EE	9B	43	2F	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
01	01	36	9D	00	18	B4	18	B4	6A	6A	9B	42	EA	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
02	01	37	9D	00	18	B4	18	B4	E5	E5	9B	42	EA	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
03	02	41	9D	00	18	B5	18	B5	61	61	9B	42	A6	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00		
